score,fold1,fold2,fold3,vars
0.6055302362628766,0.602,0.591,0.624,kr_treasury_3y+us_fed_funds+delta_us10y_t1+delta_vix_t1+delta_dxy_t1
0.60551173160496,0.581,0.58,0.656,kr_treasury_3y+kr_base_rate+us_breakeven_10y+spread_10y_t1+delta_us10y_t1
0.6054936621459596,0.589,0.571,0.656,us_fed_funds+sp500+delta_us10y_t1+delta_vix_t1+crisis_dummy
0.6054554516811178,0.585,0.584,0.647,kr_base_rate+sp500+delta_us10y_t1+delta_dxy_t1+crisis_dummy
0.6053519265629334,0.589,0.597,0.63,kr_base_rate+us_breakeven_10y+vix+delta_us10y_t1+delta_vix_t1
0.6052861767106746,0.568,0.595,0.653,us_fed_funds+us_breakeven_10y+vix+spread_10y_t1+delta_us10y_t1
0.605280623572504,0.559,0.608,0.649,kr_base_rate+vix+spread_10y_t1+delta_us10y_t1+delta_vix_t1
0.6052681072516742,0.576,0.586,0.653,kr_treasury_3y+us_breakeven_10y+spread_10y_t1+delta_us10y_t1+crisis_dummy
0.6051228900773186,0.589,0.595,0.632,us_fed_funds+vix+sp500+spread_10y_t1+delta_us10y_t1
0.6051083022096476,0.585,0.603,0.627,kr_treasury_3y+us_treasury_10y+sp500+dxy+delta_us10y_t1
0.6048611962650323,0.593,0.593,0.629,kr_treasury_3y+kr_base_rate+us_treasury_10y+us_breakeven_10y+delta_us10y_t1
0.604851726336616,0.568,0.586,0.66,kr_treasury_3y+kr_base_rate+us_breakeven_10y+delta_us10y_t1+crisis_dummy
0.6047391664889314,0.576,0.595,0.643,kr_base_rate+sp500+delta_us10y_t1+delta_vix_t1+crisis_dummy
0.6046502292384178,0.585,0.599,0.63,us_fed_funds+dxy+spread_10y_t1+delta_us10y_t1+delta_vix_t1
0.604637277718672,0.572,0.576,0.666,kr_treasury_3y+sp500+dxy+delta_us10y_t1+delta_dxy_t1
0.6045668451260751,0.602,0.591,0.621,dxy+spread_10y_t1+delta_us10y_t1+delta_vix_t1+delta_dxy_t1
