vars,dir_acc
delta_us10y_t1+dxy+kospi+kr_base_rate+kr_cd_91d+kr_cpi+kr_ppi+spread_10y_t1+us_breakeven_10y+us_cpi+us_credit_spread+us_treasury_2y+wti_oil,0.5653549865365286
crisis_dummy+delta_dxy_t1+delta_us10y_t1+delta_vix_t1+kospi+kr_cd_91d+kr_corp_aa3y+kr_cpi_core+kr_treasury_5y+spread_10y_t1+us_breakeven_10y+us_treasury_2y+wti_oil,0.5885390368098313
delta_dxy_t1+delta_us10y_t1+dxy+kospi+kr_cpi_core+kr_ppi+kr_treasury_3y+krw_usd+us_breakeven_10y+us_cpi+us_credit_spread+us_treasury_10y+vix,0.5951054622309643
crisis_dummy+delta_dxy_t1+kr_cpi+kr_cpi_core+kr_ppi+kr_treasury_5y+krw_usd+sp500+us_credit_spread+us_fed_funds+us_treasury_10y+vix+wti_oil,0.5161696333196285
delta_vix_t1+kospi+kr_cd_91d+kr_cpi_core+kr_mfg_bsi_outlook+kr_ppi+kr_treasury_3y+kr_treasury_5y+krw_usd+us_breakeven_10y+us_credit_spread+us_treasury_10y+wti_oil,0.4917162039235126
crisis_dummy+delta_vix_t1+dxy+kospi+kr_base_rate+kr_cd_91d+kr_corp_aa3y+kr_cpi_core+kr_industrial_prod+kr_mfg_bsi_outlook+kr_ppi+kr_treasury_1y+us_credit_spread,0.5069007618251561
crisis_dummy+delta_dxy_t1+delta_us10y_t1+delta_vix_t1+kr_cpi_core+kr_industrial_prod+kr_ppi+kr_treasury_1y+krw_usd+us_breakeven_10y+us_cpi+us_treasury_2y+vix,0.582368058119993
crisis_dummy+delta_us10y_t1+dxy+kospi+kr_cd_91d+kr_corp_aa3y+kr_cpi+kr_cpi_core+kr_industrial_prod+krw_usd+us_breakeven_10y+us_treasury_2y+wti_oil,0.595855324693377
delta_dxy_t1+kr_base_rate+kr_cd_91d+kr_corp_aa3y+kr_cpi+kr_industrial_prod+kr_ppi+kr_treasury_3y+krw_usd+spread_10y_t1+us_breakeven_10y+us_cpi+us_fed_funds,0.5242244792063544
crisis_dummy+dxy+kospi+kr_corp_aa3y+kr_cpi_core+kr_mfg_bsi_outlook+kr_treasury_1y+kr_treasury_3y+kr_treasury_5y+us_credit_spread+us_fed_funds+us_treasury_2y+vix,0.4864452555742847
crisis_dummy+delta_dxy_t1+dxy+kr_base_rate+kr_cd_91d+kr_corp_aa3y+kr_cpi_core+kr_industrial_prod+kr_mfg_bsi_outlook+kr_treasury_1y+us_fed_funds+us_treasury_10y+wti_oil,0.5401714891117589
crisis_dummy+delta_dxy_t1+delta_us10y_t1+delta_vix_t1+kr_corp_aa3y+kr_cpi+kr_cpi_core+kr_mfg_bsi_outlook+kr_treasury_3y+spread_10y_t1+us_credit_spread+us_treasury_2y+wti_oil,0.6006813518570157
delta_dxy_t1+delta_vix_t1+dxy+kospi+kr_base_rate+kr_cd_91d+kr_corp_aa3y+kr_cpi+us_fed_funds+us_treasury_10y+us_treasury_2y+vix+wti_oil,0.5154833634247272
crisis_dummy+delta_us10y_t1+kr_cd_91d+kr_corp_aa3y+kr_cpi_core+kr_industrial_prod+kr_ppi+kr_treasury_3y+sp500+spread_10y_t1+us_credit_spread+us_treasury_10y+vix,0.6111686103358486
crisis_dummy+kr_base_rate+kr_corp_aa3y+kr_cpi+kr_cpi_core+kr_mfg_bsi_outlook+kr_ppi+kr_treasury_3y+kr_treasury_5y+sp500+spread_10y_t1+us_breakeven_10y+wti_oil,0.47986480425003003
crisis_dummy+delta_dxy_t1+delta_us10y_t1+kr_base_rate+kr_cd_91d+kr_corp_aa3y+kr_cpi+kr_cpi_core+kr_treasury_5y+krw_usd+sp500+us_fed_funds+us_treasury_2y,0.5801418472379578
